render_id,canonical_name,category,category_code,policy,original_v5_shift,candidate_shift,difference_from_v5,face_x_after,face_safe,new_edge_clipping,has_new_edge_clipping,tracking_confidence
c233,桃乐丝,E 宽裙摆 (桃乐丝),E,E,-88.16,-47.77,40.39,712.23,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9404
c310,爱德,E 宽裙摆 (艾德),E,A,0.0,0.0,0.0,760.0,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.1686
c310,爱德,E 宽裙摆 (艾德),E,B,0.0,0.0,0.0,760.0,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.1686
c310,爱德,E 宽裙摆 (艾德),E,C,0.0,0.0,0.0,760.0,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.1686
c310,爱德,E 宽裙摆 (艾德),E,D,0.0,0.0,0.0,760.0,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.1686
c310,爱德,E 宽裙摆 (艾德),E,E,0.0,0.0,0.0,760.0,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.1686
c161,米哈拉,F 偏头/侧脸 (米哈拉),F,A,25.06,0.0,-25.06,760.0,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9826
c161,米哈拉,F 偏头/侧脸 (米哈拉),F,B,25.06,25.06,0.0,785.06,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9826
c161,米哈拉,F 偏头/侧脸 (米哈拉),F,C,25.06,24.95,-0.11,784.95,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9826
c161,米哈拉,F 偏头/侧脸 (米哈拉),F,D,25.06,24.2,-0.86,784.2,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9826
c161,米哈拉,F 偏头/侧脸 (米哈拉),F,E,25.06,25.06,-0.0,785.06,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9826
c222,红莲,F 偏头/侧脸 (红莲),F,A,82.29,0.0,-82.29,760.0,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.7098
c222,红莲,F 偏头/侧脸 (红莲),F,B,82.29,82.29,0.0,842.29,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.7098
c222,红莲,F 偏头/侧脸 (红莲),F,C,82.29,39.92,-42.37,799.92,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.7098
c222,红莲,F 偏头/侧脸 (红莲),F,D,82.29,31.99,-50.3,791.99,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.7098
c222,红莲,F 偏头/侧脸 (红莲),F,E,82.29,47.63,-34.66,807.63,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.7098
c234,桃乐丝：机缘巧遇,G 强非对称姿势 (桃乐丝：机缘巧遇),G,A,-72.71,0.0,72.71,760.0,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9632
c234,桃乐丝：机缘巧遇,G 强非对称姿势 (桃乐丝：机缘巧遇),G,B,-72.71,-72.71,0.0,687.29,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9632
c234,桃乐丝：机缘巧遇,G 强非对称姿势 (桃乐丝：机缘巧遇),G,C,-72.71,-39.8,32.91,720.2,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9632
